danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.756,0.672,0,-6.743,1,0.0522,0.464,3.37e-06,0.108,0.739,114.935,audio_features,2uqYupMHANxnwgeiXTZXzd,spotify:track:2uqYupMHANxnwgeiXTZXzd,https://api.spotify.com/v1/tracks/2uqYupMHANxnwgeiXTZXzd,https://api.spotify.com/v1/audio-analysis/2uqYupMHANxnwgeiXTZXzd,171783,4
0.691,0.64,0,-6.441,1,0.369,0.511,0.0,0.409,0.163,138.672,audio_features,6MF4tRr5lU8qok8IKaFOBE,spotify:track:6MF4tRr5lU8qok8IKaFOBE,https://api.spotify.com/v1/tracks/6MF4tRr5lU8qok8IKaFOBE,https://api.spotify.com/v1/audio-analysis/6MF4tRr5lU8qok8IKaFOBE,202040,4
0.677,0.766,6,-6.896,1,0.0568,0.0219,6.81e-06,0.129,0.198,123.062,audio_features,51Of5p3lKZeOg6itfs4og4,spotify:track:51Of5p3lKZeOg6itfs4og4,https://api.spotify.com/v1/tracks/51Of5p3lKZeOg6itfs4og4,https://api.spotify.com/v1/audio-analysis/51Of5p3lKZeOg6itfs4og4,190488,4
0.526,0.877,3,-4.369,0,0.033,0.172,0.0108,0.223,0.436,145.568,audio_features,1XrSjpNe49IiygZfzb74pk,spotify:track:1XrSjpNe49IiygZfzb74pk,https://api.spotify.com/v1/tracks/1XrSjpNe49IiygZfzb74pk,https://api.spotify.com/v1/audio-analysis/1XrSjpNe49IiygZfzb74pk,255067,3
0.72,0.88,9,-2.834,1,0.101,0.0562,0.06,0.153,0.463,180.011,audio_features,05WVKTdZhlIMX4qqMLuo0f,spotify:track:05WVKTdZhlIMX4qqMLuo0f,https://api.spotify.com/v1/tracks/05WVKTdZhlIMX4qqMLuo0f,https://api.spotify.com/v1/audio-analysis/05WVKTdZhlIMX4qqMLuo0f,197333,4
0.937,0.793,11,-4.431,0,0.115,0.0453,0.0,0.341,0.794,106.022,audio_features,4pi1G1x8tl9VfdD9bL3maT,spotify:track:4pi1G1x8tl9VfdD9bL3maT,https://api.spotify.com/v1/tracks/4pi1G1x8tl9VfdD9bL3maT,https://api.spotify.com/v1/audio-analysis/4pi1G1x8tl9VfdD9bL3maT,172540,4
0.811,0.64,5,-5.63,0,0.274,0.0957,0.0,0.127,0.527,145.031,audio_features,2MjXWroB9wlTG2kqv3avfS,spotify:track:2MjXWroB9wlTG2kqv3avfS,https://api.spotify.com/v1/tracks/2MjXWroB9wlTG2kqv3avfS,https://api.spotify.com/v1/audio-analysis/2MjXWroB9wlTG2kqv3avfS,148552,4
0.706,0.778,10,-4.491,1,0.0606,0.198,1.06e-05,0.0778,0.376,125.893,audio_features,3ElGRG3DqSzzkh1b2wnbzf,spotify:track:3ElGRG3DqSzzkh1b2wnbzf,https://api.spotify.com/v1/tracks/3ElGRG3DqSzzkh1b2wnbzf,https://api.spotify.com/v1/audio-analysis/3ElGRG3DqSzzkh1b2wnbzf,149643,4
0.67,0.896,1,-4.673,1,0.058,0.0342,3.21e-05,0.344,0.403,101.216,audio_features,2USlegnFJLrVLpoVfPimKB,spotify:track:2USlegnFJLrVLpoVfPimKB,https://api.spotify.com/v1/tracks/2USlegnFJLrVLpoVfPimKB,https://api.spotify.com/v1/audio-analysis/2USlegnFJLrVLpoVfPimKB,160000,3
0.594,0.811,1,-5.746,1,0.159,0.189,0.0,0.339,0.311,148.144,audio_features,3w0w2T288dec0mgeZZqoNN,spotify:track:3w0w2T288dec0mgeZZqoNN,https://api.spotify.com/v1/tracks/3w0w2T288dec0mgeZZqoNN,https://api.spotify.com/v1/audio-analysis/3w0w2T288dec0mgeZZqoNN,264324,4
0.734,0.691,0,-5.354,0,0.172,0.271,2.53e-06,0.334,0.497,158.089,audio_features,5nV4nOYPxJPB92gZwk60Ms,spotify:track:5nV4nOYPxJPB92gZwk60Ms,https://api.spotify.com/v1/tracks/5nV4nOYPxJPB92gZwk60Ms,https://api.spotify.com/v1/audio-analysis/5nV4nOYPxJPB92gZwk60Ms,183797,4
0.488,0.87,6,-4.185,0,0.0421,0.00353,0.0,0.484,0.211,110.072,audio_features,2nLtzopw4rPReszdYBJU6h,spotify:track:2nLtzopw4rPReszdYBJU6h,https://api.spotify.com/v1/tracks/2nLtzopw4rPReszdYBJU6h,https://api.spotify.com/v1/audio-analysis/2nLtzopw4rPReszdYBJU6h,187520,4
0.478,0.818,4,-5.076,1,0.0377,0.00292,0.00789,0.438,0.163,127.953,audio_features,54ZPmGE1uOG9IYoUBSRSp7,spotify:track:54ZPmGE1uOG9IYoUBSRSp7,https://api.spotify.com/v1/tracks/54ZPmGE1uOG9IYoUBSRSp7,https://api.spotify.com/v1/audio-analysis/54ZPmGE1uOG9IYoUBSRSp7,226867,4
0.42,0.901,7,-3.857,1,0.0955,0.00173,0.0,0.366,0.74,145.965,audio_features,76c1AuZodByXM3X2k48wju,spotify:track:76c1AuZodByXM3X2k48wju,https://api.spotify.com/v1/tracks/76c1AuZodByXM3X2k48wju,https://api.spotify.com/v1/audio-analysis/76c1AuZodByXM3X2k48wju,250320,4
0.581,0.674,8,-7.09,1,0.033,0.00187,3.01e-06,0.128,0.488,143.005,audio_features,4XWaUb7mKRcJR5RPp4IIDr,spotify:track:4XWaUb7mKRcJR5RPp4IIDr,https://api.spotify.com/v1/tracks/4XWaUb7mKRcJR5RPp4IIDr,https://api.spotify.com/v1/audio-analysis/4XWaUb7mKRcJR5RPp4IIDr,213572,4
0.728,0.607,1,-8.417,0,0.132,0.133,0.0,0.0864,0.445,129.938,audio_features,15EPc80XuFrb2LmOzGjuRg,spotify:track:15EPc80XuFrb2LmOzGjuRg,https://api.spotify.com/v1/tracks/15EPc80XuFrb2LmOzGjuRg,https://api.spotify.com/v1/audio-analysis/15EPc80XuFrb2LmOzGjuRg,176702,4
0.47,0.852,4,-4.621,1,0.237,0.0119,0.00232,0.128,0.198,160.02,audio_features,4suSpXpikf7BGKoOInk8aV,spotify:track:4suSpXpikf7BGKoOInk8aV,https://api.spotify.com/v1/tracks/4suSpXpikf7BGKoOInk8aV,https://api.spotify.com/v1/audio-analysis/4suSpXpikf7BGKoOInk8aV,301500,4
0.542,0.637,7,-6.049,1,0.135,0.00675,0.0,0.123,0.221,179.813,audio_features,0smgkpVia3VCXgY4qhVJvp,spotify:track:0smgkpVia3VCXgY4qhVJvp,https://api.spotify.com/v1/tracks/0smgkpVia3VCXgY4qhVJvp,https://api.spotify.com/v1/audio-analysis/0smgkpVia3VCXgY4qhVJvp,213333,4
0.723,0.699,0,-5.857,1,0.0469,0.0927,0.0,0.0737,0.513,132.15,audio_features,3Ob7mhuHZPZ0rLQ8vm2TpR,spotify:track:3Ob7mhuHZPZ0rLQ8vm2TpR,https://api.spotify.com/v1/tracks/3Ob7mhuHZPZ0rLQ8vm2TpR,https://api.spotify.com/v1/audio-analysis/3Ob7mhuHZPZ0rLQ8vm2TpR,181828,4
0.636,0.474,5,-8.096,1,0.077,0.784,0.0613,0.113,0.571,167.064,audio_features,0lO1yt6M1l1OAs80M3vEfM,spotify:track:0lO1yt6M1l1OAs80M3vEfM,https://api.spotify.com/v1/tracks/0lO1yt6M1l1OAs80M3vEfM,https://api.spotify.com/v1/audio-analysis/0lO1yt6M1l1OAs80M3vEfM,194360,4
0.567,0.877,4,-3.214,1,0.0314,0.00166,0.000342,0.0992,0.341,125.007,audio_features,2YvcZ3xSlSLFEuDLybGzDb,spotify:track:2YvcZ3xSlSLFEuDLybGzDb,https://api.spotify.com/v1/tracks/2YvcZ3xSlSLFEuDLybGzDb,https://api.spotify.com/v1/audio-analysis/2YvcZ3xSlSLFEuDLybGzDb,230625,4
0.701,0.738,4,-6.269,0,0.0388,0.464,0.00014,0.162,0.231,127.968,audio_features,61Km07hgJuxPOaRWvg5fN1,spotify:track:61Km07hgJuxPOaRWvg5fN1,https://api.spotify.com/v1/tracks/61Km07hgJuxPOaRWvg5fN1,https://api.spotify.com/v1/audio-analysis/61Km07hgJuxPOaRWvg5fN1,224467,4
0.602,0.626,2,-5.323,0,0.0396,0.0129,9.02e-06,0.144,0.619,160.118,audio_features,7l9IqDtVWJurTvkQHq1BGh,spotify:track:7l9IqDtVWJurTvkQHq1BGh,https://api.spotify.com/v1/tracks/7l9IqDtVWJurTvkQHq1BGh,https://api.spotify.com/v1/audio-analysis/7l9IqDtVWJurTvkQHq1BGh,207120,4
0.548,0.832,4,-8.433,1,0.0741,0.0015,0.000153,0.101,0.653,155.073,audio_features,7bJe4HWuVXau6NC2O1WP6W,spotify:track:7bJe4HWuVXau6NC2O1WP6W,https://api.spotify.com/v1/tracks/7bJe4HWuVXau6NC2O1WP6W,https://api.spotify.com/v1/audio-analysis/7bJe4HWuVXau6NC2O1WP6W,204418,4
0.551,0.865,9,-4.616,1,0.0406,0.000668,0.0,0.108,0.702,140.036,audio_features,7uTqmYA0sSjmDVpQNGDz7j,spotify:track:7uTqmYA0sSjmDVpQNGDz7j,https://api.spotify.com/v1/tracks/7uTqmYA0sSjmDVpQNGDz7j,https://api.spotify.com/v1/audio-analysis/7uTqmYA0sSjmDVpQNGDz7j,193836,4
